Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Heliotrope_Logic_v2\Project Outputs for Heliotrope_Logic_v2\Pick Place\Pick Place for PCB1.csv

========================================================================================================================
File Design Information:

Date:       25/11/22
Time:       16:13
Revision:   9d79dc964e8c02f3cab5bd44d67abaefe672b891
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R7","RMCF0603JT10K0","TopLayer","FP-RMCF0603-MFG","18.3134","2.7686","270","Res Thick Film 0603 10K Ohm 5% 1/10W ±100ppm/°C Molded SMD SMD Paper T/R"
"F1","0603L020YR","TopLayer","FP-0603L-MFG","11.1506","23.1140","90","9VDC 200mA Hold, 500mA Trip 0603 PTC"
"R2","RMCF0603FT33K0","TopLayer","FP-RMCF0603-MFG","36.2458","15.7226","0","Res Thick Film 0603 33K Ohm 1% 0.1W(1/10W) ±100ppm/C Pad SMD Automotive T/R"
"U5","PTN5150AHXMP","TopLayer","IC_PTN5150AHXMP","33.6804","16.3576","0","PTN5150A Series 2.7 to 5.5 V CC Logic for USB Type-C Applications - XFQFN-12"
"U4","AP22653AW6-7","TopLayer","SOT26-A1_DIO","39.8018","18.4912","180","PRECISION ADJUSTABLE CURRENT-LIMITED POWER SWITCHES, -40 to 85°C pF, RoHS"
"R6","RMCF0603FT102K","TopLayer","FP-RMCF0603-MFG","36.2458","17.0688","0","Res Thick Film 0603 102K Ohm 1% 1/10W ±100ppm/°C Molded SMD SMD Paper T/R"
"C14","CC0603JRX7R9BB104","TopLayer","FP-CC0603-DA-MFG","33.9732","14.1986","180","0603 0.1 uF 50 V ±5 % Tolerance X7R SMT Multilayer Ceramic Capacitor"
"C13","GRM21BR71A106KA73K","TopLayer","FP-GRM21B-0_15-MFG","43.0022","18.4658","270","Cap Ceramic 10uF 10V X7R 10% Pad SMD 0805 125C T/R"
"C12","CC0603JRX7R9BB104","TopLayer","FP-CC0603-DA-MFG","15.4432","22.8092","0","0603 0.1 uF 50 V ±5 % Tolerance X7R SMT Multilayer Ceramic Capacitor"
"C11","CC0603JRX7R9BB104","TopLayer","FP-CC0603-DA-MFG","12.6492","19.6088","270","0603 0.1 uF 50 V ±5 % Tolerance X7R SMT Multilayer Ceramic Capacitor"
