"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Backorder","Unit Price","Extended Price"
"1","1","WM7620CT-ND","0532610271","CONN HEADER SMD R/A 2POS 1.25MM","","0","0.57000","$0.57"
"2","1","576-3799-1-ND","MIC803-26D4VC3-TR","IC SUPERVISOR 1 CHANNEL SC70-3","","0","0.43000","$0.43"
"3","1","296-TLV74033PDBVRCT-ND","TLV74033PDBVR","IC REG LINEAR 3.3V 300MA SOT23-5","","0","0.35000","$0.35"
"4","10","490-1014-1-ND","BLM18AG601SN1D","FERRITE BEAD 600 OHM 0603 1LN","","0","0.07300","$0.73"
"5","1","311-1797-1-ND","CC0603KRX7R6BB225","CAP CER 2.2UF 10V X7R 0603","","0","0.17000","$0.17"
"6","2","490-14381-1-ND","GRM21BR71A106KA73K","CAP CER 10UF 10V X7R 0805","","0","0.17000","$0.34"
"7","1","XC3029CT-ND","ECS-2520MV-080-CN-TR","OSC XO 8.000MHZ CMOS SMD","","0","1.19000","$1.19"
"8","1","RCLAMP0504FBTCTCT-ND","RCLAMP0504FBTCT","TVS DIODE 5VWM 17.5VC SC70-6","","0","1.02000","$1.02"
"9","1","732-2017-1-ND","68712014522","CONN FPC BOTTOM 20POS 0.50MM R/A","","0","1.48000","$1.48"
"10","10","RMCF0603JT1K00CT-ND","RMCF0603JT1K00","RES 1K OHM 5% 1/10W 0603","","0","0.01300","$0.13"
"11","10","RMCF0603JT10K0CT-ND","RMCF0603JT10K0","RES 10K OHM 5% 1/10W 0603","","0","0.01300","$0.13"
"12","10","RMCF0603JT100KCT-ND","RMCF0603JT100K","RES 100K OHM 5% 1/10W 0603","","0","0.01300","$0.13"
"13","1","SK510A-LTPMSCT-ND","SK510A-LTP","DIODE SCHOTTKY 5A 100V SMA","","0","0.47000","$0.47"
"14","1","CKN12221-1-ND","PTS526 SK15 SMTR2 LFS","TACT 5.2 X 5.2, 1.5 MM H, 260GF,","","0","0.13000","$0.13"
"15","1","732-5210-ND","687720100002","CABLE FFC 20POS 0.50MM 3.94""","","0","3.28000","$3.28"
"16","1","WM15251-ND","0151340203","PICOBLADE 2 CIRCUIT 300MM","","0","2.56000","$2.56"
"17","10","311-1779-1-ND","CC0603JRX7R9BB104","CAP CER 0.1UF 50V X7R 0603","","0","0.07300","$0.73"
"18","10","RMCF0603JT5K10CT-ND","RMCF0603JT5K10","RES 5.1K OHM 5% 1/10W 0603","","0","0.01300","$0.13"
"","","","","","","","Subtotal","$13.97"
